character,attributes
sue_storm_(marvel),"1girl, large_breasts, jewelry, earrings, bodysuit, blue_bodysuit, multicolored_bodysuit, gloves, swimsuit, two-tone_bodysuit, white_bodysuit, cleavage"
sagiri_(kancolle),"1girl, large_breasts, medium_breasts, swimsuit, one-piece_swimsuit, frills, casual_one-piece_swimsuit, frilled_one-piece_swimsuit, white_one-piece_swimsuit, choker, side-tie_swimsuit, highleg_one-piece_swimsuit"
nina_(fire_emblem),"1girl, medium_breasts, large_breasts, braid, twin_braids, low_twin_braids, parted_bangs, twintails, low_twintails, capelet, hood, hooded_capelet"
piccolo_(dragon_ball),"1boy, pointy_ears, pants, shirt, purple_pants, sash, cape, purple_shirt, red_sash, collarbone, hat, white_cape"
neopolitan_(rwby),"1girl, large_breasts, medium_breasts, cleavage, collarbone, long_sleeves, gloves, pants, thighhighs, boots, bow, jacket"
miyamoto_iori_(fate),"1boy, kimono, blue_kimono, long_sleeves, ponytail, low_ponytail, shirt, pants, black_pants, coat, fur-trimmed_coat, necktie"
roy_(fire_emblem),"1boy, headband, cape, armor, gloves, fingerless_gloves, blue_armor, blue_headband, belt, shoulder_armor, blue_gloves, short_sleeves"
lala_satalin_deviluke_(to_love-ru),"1girl, large_breasts, medium_breasts, tail, demon_tail, hat, skirt, gloves, puffy_sleeves, white_hat, bodysuit, white_gloves"
clarisse_(granblue_fantasy),"1girl, medium_breasts, large_breasts, ponytail, bow, ribbon, gloves, skirt, hair_ribbon, hair_bow, detached_sleeves, frills"
natsuiro_matsuri_(1st_costume),"1girl, small_breasts, skirt, side_ponytail, white_skirt, jacket, pleated_skirt, ribbon, hair_ribbon, short_sleeves, off-shoulder_jacket, orange_jacket"
zorua_(pokemon),"1girl, fang, blue_eyes, half-closed_eyes, black_hair, closed_eyes, multicolored_hair, red_hair, short_hair"
koleda_belobog_(zenless_zone_zero),"1girl, small_breasts, animal_ears, twintails, fake_animal_ears, bear_ears, gloves, fingerless_gloves, black_gloves, pants, elbow_gloves, asymmetrical_gloves"
eunectes_(arknights),"1girl, large_breasts, medium_breasts, pointy_ears, tail, snake_tail, gloves, cleavage, black_gloves, pants, goggles, goggles_on_head"
tezcatlipoca_(fate),"1boy, sunglasses, jewelry, shirt, jacket, pants, white_shirt, black_jacket, open_jacket, black_pants, long_sleeves, hat"
shaymin_(pokemon),"1girl, flower, pink_flower, green_eyes"
mortis_(persona)_(bang_dream!),"1girl, long_sleeves, hat, red_hat, jewelry, capelet, black_capelet, ascot, dress, earrings, choker, frills"
brook_(one_piece),"1boy, ascot, hat, blue_ascot, long_sleeves, crown, frills, frilled_sleeves, sunglasses, jacket, crown_hat, shirt"
yatadera_narumi_(touhou),"1girl, hat, braid, dress, grey_dress, capelet, red_capelet, twin_braids, long_sleeves, socks, red_socks, buttons"
giratina_(pokemon),"1girl, wings, red_eyes, long_hair"
daiba_nana_(shoujo_kageki_revue_starlight),"1girl, long_sleeves, jacket, twintails, ribbon, hair_ribbon, short_twintails, skirt, green_ribbon, fur-trimmed_jacket, pleated_skirt, jacket_on_shoulders"
taneshima_popura_(working!!),"1girl, large_breasts, huge_breasts, gigantic_breasts, ponytail, shirt, apron, skirt, wagnaria_uniform, white_shirt, cleavage, swimsuit"
hiyajou_maho_(science_adventure),"1girl, flat_chest, blunt_bangs, collar, collarbone, green_collar, jacket, lab_coat, brown_jacket, black_shorts, shorts, dress"
venom_(marvel),"1girl, 1boy, large_breasts, bodysuit, black_bodysuit, long_hair, black_hair, white_eyes, short_hair"
griseo_(honkai_(series)),"1girl, large_breasts, medium_breasts, small_breasts, dress, white_dress, hat, flower, hair_flower, gloves, jewelry, earrings"
suzukaze_aoba_(new_game!),"1girl, small_breasts, twintails, shirt, flower, white_shirt, long_sleeves, ribbon, hair_flower, jacket, blunt_bangs, collarbone"
ralsei_(deltarune),"1boy, animal_ears, glasses, horns, scarf, pink_scarf, fangs, long_sleeves, skin_fangs, hat, goat_ears, green_hat"
st._louis_(luxurious_wheels)_(azur_lane),"1girl, huge_breasts, large_breasts, breasts_apart, dress, silver_dress, evening_gown, glitter_dress, jewelry, backless_dress, cleavage, halter_dress"
transcend_(umamusume),"1girl, large_breasts, medium_breasts, animal_ears, horse_ears, shirt, horse_tail, tail, long_sleeves, ear_ribbon, jacket, glasses"
special_week_(special_dreamer)_(umamusume),"1girl, animal_ears, horse_ears, bow, short_sleeves, tail, horse_tail, jacket, skirt, purple_bow, ribbon, braid"
karin_(school_uniform)_(blue_archive),"1girl, large_breasts, huge_breasts, shirt, skirt, white_shirt, cardigan, blue_cardigan, pleated_skirt, school_uniform, bow, bowtie"
eva_01_(neon_genesis_evangelion),"1girl, 1boy, horns, mecha_pilot_suit, plugsuit_(evangelion), shirt, yellow_eyes, glowing_eyes, long_hair, short_hair, white_eyes"
ibuki_fuuko_(clannad),"1girl, school_uniform, hikarizaka_private_high_school_uniform, sailor_collar, skirt, white_sailor_collar, jacket, blue_skirt, low-tied_long_hair, bow, yellow_jacket, long_sleeves"
gigi_murin_(1st_costume),"1girl, twintails, hood, tail, shorts, black_shorts, hoodie, orange_hoodie, shirt, white_shirt, thighhighs, gloves"
viper_(nikke),"1girl, large_breasts, huge_breasts, horns, cleavage, pink_horns, jacket, pink_jacket, choker, shirt, skirt, collar"
symboli_rudolf_(emperor's_path)_(umamusume),"1girl, medium_breasts, animal_ears, horse_ears, ascot, gloves, jacket, white_ascot, earrings, jewelry, long_sleeves, white_gloves"
uryuu_ryuunosuke_(fate_(series)),"1boy, jacket, purple_jacket, jewelry, bracelet, flower, orange_hair, black_eyes, curtained_hair, brown_hair, closed_eyes, short_hair"
wiz_(konosuba),"1girl, large_breasts, huge_breasts, long_sleeves, robe, cleavage, purple_robe, dress, swimsuit, thighhighs, bikini, purple_dress"
white_rabbit_(alice_in_wonderland),"1girl, 1boy, bow, dress, animal_ears, rabbit_ears, frills, short_sleeves, apron, shoes, puffy_sleeves, blue_dress"
keqing_(opulent_splendor)_(genshin_impact),"1girl, medium_breasts, large_breasts, dress, twintails, black_dress, strapless_dress, cleavage, detached_sleeves, bow, ribbon, short_sleeves"
shigure_ui_(1st_costume)_(vtuber),"1girl, hat, red_hat, jacket, shirt, long_sleeves, sailor_collar, grey_jacket, red_sailor_collar, pinstripe_jacket, skirt, white_shirt"
tokoro_megumi_(idolmaster),"1girl, large_breasts, medium_breasts, shirt, collarbone, cleavage, skirt, bikini, swimsuit, swept_bangs, bow, gloves"
reisen_(touhou_bougetsushou),"1girl, skirt, necktie, shirt, jacket, collared_shirt, thighhighs, shoes, suit, animal_hood, business_suit, hood"
magikarp_(pokemon),"1girl, animal_ears, shirt, tail, fox_ears, jewelry, shorts, long_hair, hair_between_eyes"
shirogane_noel_(casual),"1girl, large_breasts, between_breasts, huge_breasts, sweater, braid, skirt, choker, white_sweater, black_choker, cleavage, ribbed_sweater"
uzaki_tsuki_(uzaki-chan_wa_asobitai!),"1girl, mature_female, huge_breasts, large_breasts, swimsuit, animal_ears, horns, bikini, cow_ears, thighhighs, cow_horns, cleavage"
abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate),"1girl, small_breasts, swimsuit, bikini, white_bikini, parted_bangs, bow, white_bow, twintails, hat, white_hat, hair_bow"
chou-10cm-hou-chan_(kantai_collection),"1girl, medium_breasts, small_breasts, headband, skirt, black_headband, sailor_collar, school_uniform, serafuku, black_sailor_collar, pleated_skirt, gloves"
tenjou_utena_(shoujo_kakumei_utena),"1girl, jacket, black_jacket, long_sleeves, shorts, flower, red_shorts, white_flower, school_uniform, bike_shorts, red_flower, socks"
whislash_(arknights),"1girl, large_breasts, medium_breasts, animal_ears, horse_ears, tail, horse_tail, fang, thighhighs, hat, long_sleeves, cleavage"
melia_antiqua_(xenoblade_chronicles_(series)),"1girl, large_breasts, medium_breasts, wings, head_wings, dress, gloves, cleavage, white_gloves, thighhighs, white_dress, grey_hair"
akitsushima_(kancolle),"1girl, medium_breasts, small_breasts, side_ponytail, hat, mini_hat, swimsuit, ribbon, bikini, hair_ribbon, jewelry, earrings"
soap_(modern_warfare_2),"1boy, shirt, gloves, pants, black_shirt, black_gloves, mask, short_hair, facial_hair, black_hair, blue_eyes, asymmetrical_hair"
aragaki_shinjirou_(persona),"1boy, hat, coat, black_hat, red_coat, long_sleeves, pants, sweater, shirt, black_pants, black_sweater, turtleneck_sweater"
doraemon_(character),"1boy, 1girl, collar, red_collar, shirt, short_hair"
cure_happy_(precure),"1girl, twintails, tiara, choker, bow, skirt, pink_bow, pink_skirt, pink_choker, jewelry, boots, wings"
kazami_yuuka_(pc-98),"1girl, medium_breasts, shirt, ascot, pants, white_shirt, yellow_ascot, plaid_pants, red_pants, collared_shirt, puffy_sleeves, short_sleeves"
midori_(maid)_(blue_archive),"1girl, animal_ear_headphones, animal_ears, fake_animal_ears, headphones, cat_ear_headphones, cat_ears, maid_headdress, apron, dress, white_apron, bow"
lion_(kemono_friends),"1girl, large_breasts, huge_breasts, animal_ears, lion_ears, tail, lion_tail, shirt, necktie, thighhighs, fur_collar, skirt"
guzma_(pokemon),"1boy, sunglasses, shirt, jacket, hood, white_shirt, hooded_jacket, black_jacket, pants, short_sleeves, jewelry, black_pants"
kinugasa_kai_ni_(kancolle),"1girl, medium_breasts, swimsuit, bikini, skirt, sailor_collar, shirt, school_uniform, purple_sailor_collar, serafuku, purple_skirt, thighhighs"
flower_(vocaloid),"1girl, flat_chest, shirt, jacket, collar, black_jacket, collarbone, purple_shirt, sleeveless_jacket, double-parted_bangs, black_collar, skirt"
caracal_(kemono_friends),"1girl, large_breasts, animal_ears, shirt, gloves, extra_ears, elbow_gloves, bow, bowtie, cat_ears, tail, sleeveless_shirt"
assassin_(fate/zero),"1girl, medium_breasts, large_breasts, small_breasts, jewelry, earrings, hoop_earrings, ponytail, mask, pants, parted_bangs, high_ponytail"
pannacotta_fugo_(jojo_no_kimyou_na_bouken),"1boy, necktie, jewelry, earrings, food-themed_earrings, strawberry_earrings, shirt, jacket, long_sleeves, pants, black_necktie, blonde_hair"
yomotsu_hisami_(touhou),"1girl, large_breasts, medium_breasts, dress, gloves, purple_dress, black_gloves, short_sleeves, flower, elbow_gloves, flower_on_head, purple_flower"
ashley_graves_(the_coffin_of_andy_and_leyley),"1girl, medium_breasts, large_breasts, choker, ponytail, shirt, black_choker, long_sleeves, black_shirt, cleavage, collarbone, off-shoulder_shirt"
subaru_nakajima_(lyrical_nanoha),"1girl, large_breasts, medium_breasts, headband, shorts, gloves, fingerless_gloves, blue_shorts, denim_shorts, jacket, armor, swimsuit"
implacable_(azur_lane),"1girl, huge_breasts, large_breasts, between_breasts, thighhighs, dress, cleavage, horns, white_thighhighs, black_thighhighs, china_dress, red_dress"
utsumi_erice_(fate_(series)),"1girl, large_breasts, medium_breasts, long_sleeves, dress, jewelry, white_dress, ribbon, shirt, short_dress, hat, blue_ribbon"
sylvain_jose_gautier_(fire_emblem),"1boy, shirt, garreg_mach_monastery_uniform, jacket, white_shirt, collared_shirt, armor, open_collar, pants, school_uniform, parted_bangs, collared_jacket"
danua_(granblue_fantasy),"1girl, large_breasts, huge_breasts, horns, pointy_ears, cleavage, dress, jewelry, gloves, white_dress, fingerless_gloves, sleeveless_dress"
mukai_takumi_(idolmaster),"1girl, large_breasts, huge_breasts, cleavage, collarbone, parted_bangs, swimsuit, bikini, jacket, jewelry, long_sleeves, black_bikini"
uzuki_kou_(nijisanji),"1boy, long_sleeves, hood, hoodie, jacket, white_hoodie, hood_down, shirt, pants, black_jacket, animal_ears, blue_hood"
roto_(dq3),"1girl, 1boy, large_breasts, gloves, cape, brown_gloves, purple_cape, boots, belt, brown_boots, dress, jewelry"
yukari_(blue_archive),"1girl, large_breasts, flower, fang, hair_flower, skin_fang, swimsuit, bikini, black_bikini, cleavage, ponytail, parted_bangs"
saber_alter_(ver._shinjuku_1999),"1girl, medium_breasts, small_breasts, ponytail, jacket, jewelry, shorts, ribbon, black_jacket, black_shorts, black_ribbon, hair_ribbon"
dedenne_(pokemon),"1girl, tail, fang, black_eyes, closed_eyes"
amuro_ray_(gundam),"1boy, 1girl, mecha_pilot_suit, jacket, military_uniform, long_sleeves, normal_suit_(gundam), blue_jacket, pants, shirt, spacesuit, brown_hair"
kiana_kaslana_(herrscher_of_flamescion),"1girl, large_breasts, medium_breasts, ponytail, dress, white_dress, earrings, jewelry, cleavage, gloves, high_ponytail, black_gloves"
fujimaru_ritsuka_(female)_(decisive_battle_chaldea_uniform),"1girl, medium_breasts, gloves, long_sleeves, black_gloves, dress, jacket, white_dress, white_jacket, shirt, boots, skirt"
nekomusume_(gegege_no_kitarou_6),"1girl, medium_breasts, bow, dress, hair_bow, red_dress, pointy_ears, red_bow, choker, shirt, red_choker, white_shirt"
rachel_alucard_(blazblue),"1girl, small_breasts, twintails, ribbon, hair_ribbon, bow, red_bow, black_ribbon, frills, dress, blunt_bangs, thighhighs"
celes_chere_(final_fantasy),"1girl, medium_breasts, large_breasts, parted_bangs, leotard, cleavage, cape, green_leotard, shirt, pants, jewelry, yellow_pants"
aki_(girls_und_panzer),"1girl, small_breasts, twintails, short_twintails, low_twintails, hair_tie, shirt, long_sleeves, skirt, school_uniform, swimsuit, pleated_skirt"
anisphia_wynn_palettia_(tensei_oujo_to_tensai_reijou_no_mahou_kakumei),"1girl, large_breasts, medium_breasts, ribbon, hair_ribbon, long_sleeves, black_ribbon, shirt, jacket, skirt, frills, white_shirt"
cure_melody_(precure),"1girl, large_breasts, twintails, skirt, choker, jewelry, bow, frills, thighhighs, earrings, pink_choker, pink_skirt"
chinatsu_(blue_archive),"1girl, large_breasts, pointy_ears, glasses, shirt, skirt, twintails, white_shirt, gloves, black_skirt, red_gloves, low_twintails"
trish_una_(jojo_no_kimyou_na_bouken),"1girl, medium_breasts, choker, skirt, collarbone, jewelry, boots, cleavage, earrings, bra, shirt, pink_hair"
netzach_(project_moon),"1boy, shirt, white_shirt, collared_shirt, necktie, green_necktie, jacket, pants, black_jacket, black_pants, coat, long_sleeves"
komaki_manaka_(to_heart_(series)),"1girl, medium_breasts, large_breasts, folded_ponytail, school_uniform, skirt, miniskirt, serafuku, panties, cleavage, long_sleeves, pleated_skirt"
randal_ivory_(randal's_friends),"1boy, glasses, gloves, jacket, white_gloves, fang, shirt, fangs, black_jacket, school_uniform, short_hair, black_eyes"
hysilens_(honkai:_star_rail),"1girl, large_breasts, medium_breasts, gloves, dress, jewelry, earrings, red_gloves, thighhighs, black_gloves, cleavage, asymmetrical_gloves"
fenomeno_(umamusume),"1girl, medium_breasts, animal_ears, horse_ears, tail, hat, horse_tail, shirt, long_sleeves, ears_through_headwear, jacket, gloves"
mary_(ib),"1girl, small_breasts, dress, long_sleeves, green_dress, ascot, blue_ascot, flower, puffy_sleeves, juliet_sleeves, yellow_flower, collared_dress"
wakamo_(swimsuit)_(blue_archive),"1girl, large_breasts, huge_breasts, animal_ears, swimsuit, bikini, flower, fox_ears, tail, fox_tail, hair_flower, white_bikini"
ots-14_(girls'_frontline),"1girl, large_breasts, medium_breasts, gloves, dress, black_gloves, china_dress, choker, cleavage, coat, ponytail, purple_dress"
chise_(blue_archive),"1girl, small_breasts, horns, flower, hair_flower, skin-covered_horns, sailor_collar, swimsuit, bikini, white_sailor_collar, striped_bikini, braid"
makoto_(blue_archive),"1girl, large_breasts, horns, demon_horns, black_horns, pointy_ears, multiple_horns, hat, gloves, shirt, necktie, white_shirt"
arcane_vi_(league_of_legends),"1girl, medium_breasts, large_breasts, pants, jacket, jewelry, earrings, shirt, striped_pants, collarbone, short_hair, red_hair"
celebi_(pokemon),"wings, fairy_wings, flower, blue_eyes, green_eyes"
yuu_(twisted_wonderland),"1girl, 1boy, school_uniform, night_raven_college_school_uniform, shirt, jacket, short_hair, brown_hair, black_hair, brown_eyes, closed_eyes, long_hair"
ciel_phantomhive_(kuroshitsuji),"1boy, jewelry, earrings, shirt, bow, gloves, hat, jacket, flower, frills, ribbon, black_gloves"
swablu_(pokemon),"1boy, 1girl, blue_eyes, closed_eyes, blue_hair, black_eyes"
luna_platz_(mega_man),"1girl, bow, hair_bow, dress, blue_dress, red_bow, twintails, long_hair, big_hair, drill_hair, blonde_hair, very_long_hair"
rainbow_mika_(street_fighter),"1girl, large_breasts, huge_breasts, twintails, mask, eye_mask, leotard, wrestling_mask, blue_leotard, cleavage, domino_mask, frills"
suzuka_gozen_(fate),"1girl, large_breasts, animal_ears, fox_ears, tail, fox_tail, cleavage, swimsuit, bikini, sunglasses, jewelry, pink_bikini"
primarina_(pokemon),"1girl, multi-tied_hair, fang, long_hair, blue_eyes, blue_hair, hair_ornament, starfish_hair_ornament, pearl_hair_ornament, very_long_hair, closed_eyes"
venat_(ff14),"1girl, braid, sophist's_robe_(ff14), half_up_braid, mask, robe, mask_around_neck, unworn_mask, capelet, white_robe, white_capelet, flower"
ichigo_(darling_in_the_franxx),"1girl, small_breasts, swept_bangs, shirt, hood, dress, hood_down, white_shirt, parasite_dress_uniform_(darling_in_the_franxx), bodysuit, long_sleeves, mecha_pilot_suit"
yidhari_murphy_(zenless_zone_zero),"1girl, large_breasts, tentacle_tail, hat, shirt, black_hat, white_shirt, shorts, cleavage, thighhighs, detached_sleeves, high-waist_shorts"
wingull_(pokemon),"1girl, large_breasts, bikini, swimsuit, hat, shirt, long_hair, blonde_hair, blue_eyes, brown_hair, black_eyes, hair_over_one_eye"
espurr_(pokemon),"1girl, jacket, tail, bow, bodysuit, brown_jacket, black_bodysuit, gloves, long_sleeves, purple_eyes, black_hair, short_hair"
quanxi_(chainsaw_man),"1girl, large_breasts, medium_breasts, ponytail, pants, shirt, necktie, black_pants, black_necktie, collared_shirt, white_shirt, jacket"
aru_(dress)_(blue_archive),"1girl, large_breasts, horns, dress, red_dress, gloves, white_gloves, jewelry, cleavage, demon_horns, earrings, jacket"
bagpipe_(arknights),"1girl, large_breasts, horns, dragon_horns, shirt, braid, dress, long_sleeves, white_shirt, purple_horns, gloves, hat"
oozora_subaru_(suspenders),"1girl, large_breasts, medium_breasts, shirt, hat, grey_shirt, bow, shorts, black_bow, bowtie, grey_hat, swept_bangs"
kotori_(blue_archive),"1girl, large_breasts, between_breasts, skirt, cleavage, braid, glasses, white_skirt, teardrop-framed_glasses, twintails, short_twintails, gloves"
grecale_(kancolle),"1girl, loli, small_breasts, flat_chest, bow, hair_bow, dress, swimsuit, white_dress, bikini, pink_bow, sailor_dress"
shadowheart_(baldur's_gate),"1girl, large_breasts, medium_breasts, pointy_ears, multi-tied_hair, braid, ponytail, jewelry, cleavage, collarbone, braided_ponytail, dress"
lenna_charlotte_tycoon_(final_fantasy),"1girl, large_breasts, medium_breasts, jewelry, earrings, dress, boots, thighhighs, cape, armor, orange_dress, belt"
abigail_williams_(third_ascension)_(fate),"1girl, loli, small_breasts, flat_chest, bow, hat, witch_hat, panties, parted_bangs, black_panties, orange_bow, black_bow"
ikusaba_mukuro_(danganronpa_(series)),"1girl, large_breasts, shirt, skirt, collared_shirt, collarbone, bow, long_sleeves, gloves, cleavage, jacket, ribbon"
klein_moretti_(lord_of_the_mysteries),"1boy, shirt, white_shirt, jacket, long_sleeves, pants, hat, collared_shirt, gloves, black_jacket, necktie, flower"
pulchra_fellini_(zenless_zone_zero),"1girl, large_breasts, animal_ears, cat_ears, tail, cat_tail, choker, shorts, cleavage, shirt, gloves, black_choker"
romani_archaman_(fate_(series)),"1boy, ponytail, chaldea_staff_uniform, gloves, white_gloves, long_sleeves, coat, shirt, pants, white_coat, lab_coat, white_pants"
shishio_chris_(nanashi_inc.),"1girl, flat_chest, small_breasts, horns, demon_horns, pointy_ears, demon_tail, tail, fang, gloves, thighhighs, blunt_bangs"
hazuki_ren_(love_live!),"1girl, large_breasts, medium_breasts, ponytail, bow, high_ponytail, hair_bow, dress, ribbon, shirt, jacket, school_uniform"
yoshi_(mario_(series)),"1girl, 1boy, shoes, tail, shirt, orange_shoes, hat, long_sleeves, jewelry, blue_eyes, long_hair, black_eyes"
marill_(pokemon),"1girl, tail, hat, black_eyes, blue_eyes"
rei_(pokemon),"1boy, shota, scarf, red_scarf, jacket, hat, shirt, red_hat, black_shirt, grey_jacket, ponytail, pants"
scanty_(psg),"1girl, large_breasts, medium_breasts, horns, demon_horns, fang, jewelry, cleavage, skirt, wings, tail, demon_tail"
queen_draco_(fate),"1girl, small_breasts, large_breasts, flat_chest, pointy_ears, tail, crown, dragon_tail, horns, gloves, swimsuit, bikini"
projekt_red_(arknights),"1girl, large_breasts, animal_ears, hood, jacket, wolf_ears, red_jacket, hooded_jacket, long_sleeves, tail, hood_up, open_jacket"
sakata_kintoki_(fate),"1boy, sunglasses, jewelry, gloves, fingerless_gloves, headband, pants, belt, bracelet, shirt, black_pants, gold_belt"
bradamante_(fate),"1girl, large_breasts, twintails, braid, crown_braid, gloves, elbow_gloves, white_gloves, cleavage, leotard, blue_gloves, multicolored_gloves"
lulu_(league_of_legends),"1girl, hat, animal_ears, dress, red_dress, red_hat, ears_through_headwear, pointy_ears, witch_hat, long_sleeves, boots, fang"
kirishima_touka_(tokyo_ghoul),"1girl, large_breasts, medium_breasts, shirt, collarbone, white_shirt, jacket, dress, collared_shirt, long_sleeves, skirt, wings"
arato_nagi_(ruri_no_houseki),"1girl, large_breasts, huge_breasts, earrings, jewelry, stud_earrings, shirt, white_shirt, cleavage, swimsuit, pants, bikini"
junko_(blue_archive),"1girl, small_breasts, horns, demon_horns, twintails, wings, pointy_ears, demon_wings, black_horns, low_wings, shirt, skirt"
sessyoin_kiara_(heaven's_hole),"1girl, large_breasts, horns, veil, dress, parted_bangs, white_veil, pink_horns, long_sleeves, white_dress, cleavage, ribbon"
saori_(dress)_(blue_archive),"1girl, large_breasts, gloves, dress, white_dress, elbow_gloves, white_gloves, choker, white_choker, strapless_dress, cleavage, ponytail"
oddish_(pokemon),"1girl, flower, red_eyes"
luo_tianyi_(vocaloid),"1girl, dress, shirt, low_twintails, skirt, twintails, detached_sleeves, white_shirt, flower, socks, white_dress, bow"
arbok_(pokemon),"1girl, 1boy, glasses, shirt, fangs, necktie, pants, jacket, purple_shirt, white_necktie, black_pants, long_sleeves"
sanageyama_uzu_(kill_la_kill),"1boy, jewelry, uniform, mask, jacket, green_hair, green_eyes"
koizumi_mahiru_(danganronpa_(series)),"1girl, shirt, necktie, dress, collared_shirt, short_sleeves, white_shirt, green_dress, pinafore_dress, sleeveless_dress, plaid_necktie, red_necktie"
igarashi_kyoko_(idolmaster),"1girl, medium_breasts, large_breasts, side_ponytail, collarbone, cleavage, bow, blunt_bangs, shirt, hair_bow, skirt, bikini"
ryugasaki_rene_(nanashi_inc.),"1girl, medium_breasts, large_breasts, horns, demon_horns, pointy_ears, tail, jewelry, demon_tail, black_horns, earrings, red_horns"
steve_rogers_(marvel),"1boy, belt, gloves, bodysuit, blue_bodysuit, pants, fingerless_gloves, shirt, boots, long_sleeves, jacket, brown_belt"
ikaruga_luca_(idolmaster),"1girl, medium_breasts, jewelry, collarbone, shirt, long_sleeves, dress, jacket, choker, skirt, thighhighs, hat"
satono_crown_(umamusume),"1girl, medium_breasts, large_breasts, animal_ears, horse_ears, side_ponytail, ear_through_crown, horse_tail, tail, crown_ornament, sweater, gloves"
ssrb_(shishiro_botan),"1girl, large_breasts, animal_ears, lion_ears, tail, lion_tail, shirt, jewelry, cleavage, white_shirt, double-parted_bangs, choker"
kitashirakawa_tamako_(tamako_market),"1girl, twintails, low_twintails, dress, school_uniform, shirt, long_sleeves, pinafore_dress, sleeveless_dress, ribbon, white_shirt, red_ribbon"
shirayuki_hime_(happinesscharge_precure!),"1girl, twintails, jewelry, skirt, bow, crown, blue_bow, gold_crown, earrings, blue_skirt, crown_bow, mini_crown"
togepi_(pokemon),"1girl, 1boy, shorts, bag, side_ponytail, hat, jewelry, orange_hair, black_eyes, short_hair"
anya_melfissa_(hololive),"1girl, small_breasts, flat_chest, shirt, dress, double-parted_bangs, long_sleeves, bow, detached_sleeves, black_dress, frills, center-flap_bangs"
gokuhara_gonta_(danganronpa_(series)),"1boy, jacket, glasses, shirt, long_sleeves, necktie, collared_shirt, brown_jacket, white_shirt, pants, green_necktie, blazer"
feater_(arknights),"1girl, large_breasts, animal_ears, panda_ears, cleavage, dress, jacket, china_dress, twintails, fang, cleavage_cutout, black_dress"
kizuna_ai_(1st_costume),"1girl, medium_breasts, detached_sleeves, sailor_collar, shirt, bow, white_shirt, white_sailor_collar, thighhighs, shorts, white_sleeves, sleeveless_shirt"
kondou_taeko_(girls_und_panzer),"1girl, large_breasts, headband, volleyball_uniform, red_headband, shirt, ooarai_volleyball_uniform, sleeveless_shirt, shorts, red_shorts, short_shorts, elbow_pads"
acolyte_(ragnarok_online),"1girl, 1boy, medium_breasts, capelet, shirt, long_sleeves, skirt, gloves, brown_shirt, brown_capelet, white_capelet, hat"
izayoi_liko_(mahou_girls_precure!),"1girl, medium_breasts, bow, hat, witch_hat, jewelry, red_bow, dress, blunt_bangs, mini_hat, gloves, black_hat"
inui_toko_(1st_costume),"1girl, animal_ears, dog_ears, maid_headdress, kimono, flower, twintails, hair_flower, frills, low_twintails, long_sleeves, white_headdress"
otokura_yuuki_(idolmaster),"1girl, small_breasts, flat_chest, shirt, collarbone, skirt, jacket, shorts, swimsuit, bow, dress, ribbon"
suou_patra_(indie_virtual_youtuber),"1girl, large_breasts, between_breasts, clothes_between_breasts, necktie_between_breasts, medium_breasts, tail, demon_horns, horns, pointy_ears, demon_tail, detached_sleeves"
blemishine_(arknights),"1girl, medium_breasts, large_breasts, animal_ears, horse_ears, tail, ponytail, bow, hair_bow, horse_tail, armor, black_bow"
nayuta_(chainsaw_man),"1girl, small_breasts, braid, shirt, single_braid, braided_ponytail, sweater, pants, turtleneck_sweater, white_shirt, black_pants, collared_shirt"
van_gogh_(fate),"1girl, small_breasts, braid, hat, side_braid, crown_braid, flower, long_sleeves, sunflower, dress, yellow_hat, puffy_sleeves"
cure_march_(precure),"1girl, ponytail, choker, skirt, green_skirt, green_choker, bike_shorts, tri_tails, bow, tiara, bike_shorts_under_skirt, jewelry"
riolu_(pokemon),"tail, red_eyes"
wakan_tanka_(tokyo_afterschool_summoners),"1boy, animal_ears, cow_ears, horns, cow_horns, glowing_horns, fiery_horns, shirt, jacket, jewelry, facial_hair, short_hair"
kaai_yuki_(vocaloid),"1girl, loli, flat_chest, twintails, shirt, low_twintails, white_shirt, bag, short_sleeves, dress, short_twintails, socks"
lappland_the_decadenza_(arknights),"1girl, animal_ears, wolf_ears, gloves, jacket, black_gloves, black_jacket, necktie, long_sleeves, cape, shirt, skirt"
kurokami_fubuki_(hololive),"1girl, medium_breasts, large_breasts, animal_ears, fox_ears, tail, fox_tail, braid, single_braid, side_braid, jacket, black_jacket"
princess_of_moonbrook_(dragon_quest),"1girl, large_breasts, medium_breasts, robe, white_robe, hood, long_sleeves, dress, boots, red_hood, white_dress, hood_up"
ak-15_(girls'_frontline),"1girl, large_breasts, shirt, pants, black_pants, braid, gloves, cleavage, necktie, white_shirt, black_shirt, blunt_bangs"
wooper_(pokemon),"1girl, tail, black_eyes, closed_eyes, long_hair, blue_hair"
arcanine_(pokemon),"1girl, fangs, tail, fang, brown_eyes, black_eyes"
roon_(azur_lane),"1girl, large_breasts, cleavage, shirt, skirt, jacket, black_jacket, black_skirt, buttons, long_sleeves, pleated_skirt, dress"
hagoromo_lala_(precure),"1girl, pointy_ears, jewelry, short_sleeves, earrings, see-through_sleeves, star_earrings, dress, choker, puffy_sleeves, puffy_short_sleeves, shirt"
tear_grants_(tales_of_(series)),"1girl, large_breasts, dress, gloves, sleeveless_dress, detached_sleeves, brown_dress, white_gloves, brown_sleeves, high_collar, thighhighs, flower"
